Indicator,Month,Facility,Total_Visits,Monthly_Expenditure_USD,Cost_Per_ANC_Visit
fbfJHSPpUQD,202604,S2NaydvPENH,16,2399.4,149.96
fbfJHSPpUQD,202604,w3vRmEz3J7t,14,2339.62,167.12
fbfJHSPpUQD,202602,LOpWauwwghf,16,1850.66,115.67
fbfJHSPpUQD,202511,WxMmxNU6Gla,18,2903.19,161.29
fbfJHSPpUQD,202603,OTlKtnhvEm1,3,2666.66,888.89
fbfJHSPpUQD,202509,cTU2WmWcJKx,3,2689.28,896.43
fbfJHSPpUQD,202507,ALZ2qr5u0X0,18,2481.27,137.85
fbfJHSPpUQD,202602,vPz4Irz7sxR,10,548.96,54.9
fbfJHSPpUQD,202511,DMxw0SASFih,53,2032.01,38.34
fbfJHSPpUQD,202602,Efmr3Xo36DR,5,1906.28,381.26
fbfJHSPpUQD,202506,M3dL6ZAIZ3I,40,1325.53,33.14
fbfJHSPpUQD,202601,rwgK8TkRwHl,10,2808.94,280.89
fbfJHSPpUQD,202507,bPHn9IgjKLC,5,1107.31,221.46
fbfJHSPpUQD,202601,IWM4eKPJJSc,18,1239.86,68.88
fbfJHSPpUQD,202505,hZpaU5uFSDm,32,2577.91,80.56
fbfJHSPpUQD,202601,bPHn9IgjKLC,19,828.26,43.59
fbfJHSPpUQD,202601,SQz3xtx1Sgr,10,1483.58,148.36
fbfJHSPpUQD,202601,ALZ2qr5u0X0,17,1709.37,100.55
fbfJHSPpUQD,202507,fHqBRE3LTiQ,20,2764.59,138.23
fbfJHSPpUQD,202601,fHqBRE3LTiQ,12,2542.9,211.91
fbfJHSPpUQD,202510,fA43H8Ds0Ja,19,2098.04,110.42
fbfJHSPpUQD,202604,iMZihUMzH92,24,2253.62,93.9
fbfJHSPpUQD,202511,qxbsDd9QYv6,14,820.34,58.6
fbfJHSPpUQD,202602,ObV5AR1NECl,16,975.77,60.99
fbfJHSPpUQD,202511,a04CZxe0PSe,45,878.03,19.51
fbfJHSPpUQD,202507,SQz3xtx1Sgr,6,1338.23,223.04
fbfJHSPpUQD,202505,eyfrdOUUkXO,25,2328.59,93.14
fbfJHSPpUQD,202507,IWM4eKPJJSc,26,1254.12,48.24
fbfJHSPpUQD,202505,QoROdPmIdY1,6,1169.84,194.97
fbfJHSPpUQD,202604,kBP1UvZpsNj,41,2936.16,71.61
fbfJHSPpUQD,202506,t0DLywkw6O1,11,2464.04,224.0
fbfJHSPpUQD,202508,NLN0MvWv9tl,15,2868.6,191.24
fbfJHSPpUQD,202601,cJ7omISg7gG,7,2542.74,363.25
fbfJHSPpUQD,202604,ApLCxUmnT6q,7,2872.24,410.32
fbfJHSPpUQD,202604,eLLMnNjuluX,19,1468.49,77.29
fbfJHSPpUQD,202508,wbtk73Zwhj9,12,1313.81,109.48
fbfJHSPpUQD,202601,AFi1GjbeejL,6,2120.47,353.41
fbfJHSPpUQD,202506,wYLjA4vN6Y9,8,1139.98,142.5
fbfJHSPpUQD,202602,wbtk73Zwhj9,11,556.41,50.58
fbfJHSPpUQD,202512,iP4fRh8EHmF,6,1476.54,246.09
fbfJHSPpUQD,202602,NLN0MvWv9tl,32,1012.23,31.63
fbfJHSPpUQD,202602,cgqkFdShPzg,22,2297.17,104.42
fbfJHSPpUQD,202604,kDxbU1uSBFh,15,1580.56,105.37
fbfJHSPpUQD,202604,U8tyWV7WmIB,14,1320.91,94.35
fbfJHSPpUQD,202507,cJ7omISg7gG,20,2457.42,122.87
fbfJHSPpUQD,202604,x3ti3t9eOuX,15,2782.37,185.49
fbfJHSPpUQD,202507,AFi1GjbeejL,28,1166.0,41.64
fbfJHSPpUQD,202604,lekPjgUm0o2,6,2925.81,487.64
fbfJHSPpUQD,202508,kpDoH80fwdX,73,2084.5,28.55
fbfJHSPpUQD,202511,RG6MGu5nUlI,6,836.89,139.48
fbfJHSPpUQD,202509,gGv9ATEs68L,19,2608.25,137.28
fbfJHSPpUQD,202512,tXL6C7P0ObJ,20,1554.39,77.72
fbfJHSPpUQD,202603,gGv9ATEs68L,19,2755.39,145.02
fbfJHSPpUQD,202604,U2QkKSeyL5r,23,1786.6,77.68
fbfJHSPpUQD,202506,cZxP4NE5O9z,51,2890.67,56.68
fbfJHSPpUQD,202508,PqlNXedmh7u,132,2873.86,21.77
fbfJHSPpUQD,202506,P4upLKrpkHP,15,1659.76,110.65
fbfJHSPpUQD,202604,RxmgoSlw9YF,15,1205.32,80.35
fbfJHSPpUQD,202601,wSHfjjFqUay,7,801.96,114.57
fbfJHSPpUQD,202604,qVvitxEF2ck,20,2903.74,145.19
fbfJHSPpUQD,202505,w3mBVfrWhXl,48,1943.76,40.49
fbfJHSPpUQD,202601,JttXgTlQAGE,13,2336.0,179.69
fbfJHSPpUQD,202601,Zq9ATbrmKIa,8,767.59,95.95
fbfJHSPpUQD,202508,v0HMlSxlH7l,32,2661.1,83.16
fbfJHSPpUQD,202508,MErVkzdbsP5,19,2723.1,143.32
fbfJHSPpUQD,202505,w7a4l3XHIgi,22,857.68,38.99
fbfJHSPpUQD,202507,mokUyyg3olJ,3,2497.24,832.41
fbfJHSPpUQD,202508,bHcw141PTsE,26,1947.72,74.91
fbfJHSPpUQD,202601,vlNXjc2lk9y,8,525.01,65.63
fbfJHSPpUQD,202507,RTixJpRqS4C,26,1682.97,64.73
fbfJHSPpUQD,202507,C1zlHePEQe6,19,1792.96,94.37
fbfJHSPpUQD,202510,v0dXACseLuB,12,1719.89,143.32
fbfJHSPpUQD,202507,f6xGA6BZBLO,7,769.53,109.93
fbfJHSPpUQD,202505,Dbn6fyCgMBV,60,1391.08,23.18
fbfJHSPpUQD,202604,HVQ6gJE8R24,18,1667.29,92.63
fbfJHSPpUQD,202508,q56204kKXgZ,58,2553.09,44.02
fbfJHSPpUQD,202601,Eyqyhztf8G1,7,1594.58,227.8
fbfJHSPpUQD,202505,wjFsUXI1MlO,53,1832.31,34.57
fbfJHSPpUQD,202510,vAdMjyOspGL,36,874.95,24.3
fbfJHSPpUQD,202510,RTixJpRqS4C,19,892.23,46.96
fbfJHSPpUQD,202604,MHAWZr2Caxw,6,1072.83,178.8
fbfJHSPpUQD,202601,GhXvo3BpCvo,6,1773.05,295.51
fbfJHSPpUQD,202505,dQggcljEImF,149,1910.8,12.82
fbfJHSPpUQD,202510,C1zlHePEQe6,15,587.69,39.18
fbfJHSPpUQD,202506,WerHl8SDtRU,9,751.48,83.5
fbfJHSPpUQD,202603,RHJram03Rlm,10,2715.83,271.58
fbfJHSPpUQD,202507,qwmh84DV65K,10,724.24,72.42
fbfJHSPpUQD,202505,E9oBVjyEaCe,35,2506.35,71.61
fbfJHSPpUQD,202604,w0QDch3dyPH,13,1384.58,106.51
fbfJHSPpUQD,202601,HDOnfLXKkYs,6,1441.86,240.31
fbfJHSPpUQD,202603,QpRIPul20Sb,19,1307.14,68.8
fbfJHSPpUQD,202507,a1E6QWBTEwX,24,1766.27,73.59
fbfJHSPpUQD,202509,jVDUkOBCjDy,17,548.74,32.28
fbfJHSPpUQD,202512,SnCrOCRrxGX,15,726.91,48.46
fbfJHSPpUQD,202601,DcmSvQd5N8c,9,2886.39,320.71
fbfJHSPpUQD,202601,k6lOze3vTzP,37,1530.23,41.36
fbfJHSPpUQD,202507,v0dXACseLuB,19,940.1,49.48
fbfJHSPpUQD,202510,f6xGA6BZBLO,6,1449.08,241.51
fbfJHSPpUQD,202510,Mod8hYpQ3Ma,8,1251.36,156.42
fbfJHSPpUQD,202602,prNiMdHuaaU,21,867.4,41.3
fbfJHSPpUQD,202505,F7u30K5OIpi,35,1113.59,31.82
fbfJHSPpUQD,202510,mokUyyg3olJ,9,1170.02,130.0
fbfJHSPpUQD,202511,PqlNXedmh7u,101,933.29,9.24
fbfJHSPpUQD,202505,nurO6U9bOLi,24,2863.57,119.32
fbfJHSPpUQD,202506,XmfqaErvQ2T,23,2196.75,95.51
fbfJHSPpUQD,202508,GjWQK6UA4FO,10,2424.94,242.49
fbfJHSPpUQD,202505,SFQblJrFblm,7,2858.17,408.31
fbfJHSPpUQD,202603,flQBQV8eyHc,18,1048.44,58.25
fbfJHSPpUQD,202510,bLYNonGzr0Y,29,2257.01,77.83
fbfJHSPpUQD,202603,QII5GqfDfO3,10,1620.53,162.05
fbfJHSPpUQD,202508,RG6MGu5nUlI,9,2207.78,245.31
fbfJHSPpUQD,202602,T62lSjsZe9n,21,1379.12,65.67
fbfJHSPpUQD,202512,sIVFEyNfOg4,6,2709.03,451.51
fbfJHSPpUQD,202507,Q2USZSJmcNK,7,2032.2,290.31
fbfJHSPpUQD,202601,OwhDCucf4Ue,19,1723.79,90.73
fbfJHSPpUQD,202510,IWM4eKPJJSc,41,2312.21,56.4
fbfJHSPpUQD,202512,t52CJEyLhch,13,2245.71,172.75
fbfJHSPpUQD,202509,irVdYBmHBxs,7,510.38,72.91
fbfJHSPpUQD,202505,GIRLSZ1tB00,15,2394.71,159.65
fbfJHSPpUQD,202603,DKZnUSfwjKx,25,984.53,39.38
fbfJHSPpUQD,202507,fA43H8Ds0Ja,15,510.91,34.06
fbfJHSPpUQD,202510,TQ5DSmdliN7,9,2354.99,261.67
fbfJHSPpUQD,202601,BTXwf2gl7av,5,798.83,159.77
fbfJHSPpUQD,202509,WAjjFMDJKcx,103,872.03,8.47
fbfJHSPpUQD,202603,tEgxbwwrwUd,9,710.31,78.92
fbfJHSPpUQD,202602,g10jm7jPdzf,30,2585.28,86.18
fbfJHSPpUQD,202603,QMnoFLTLpkY,22,806.93,36.68
fbfJHSPpUQD,202602,m3VnSQbE8CD,36,1597.38,44.37
fbfJHSPpUQD,202510,OI0BQUurVFS,11,2879.52,261.77
fbfJHSPpUQD,202511,q56204kKXgZ,17,1472.64,86.63
fbfJHSPpUQD,202604,e2WgqiasKnD,7,2165.58,309.37
fbfJHSPpUQD,202512,L05Bfpu7AcZ,25,2722.76,108.91
fbfJHSPpUQD,202604,hoJ0Do9loZl,11,1520.04,138.19
fbfJHSPpUQD,202506,AiGBODidxPw,18,1972.55,109.59
fbfJHSPpUQD,202508,WxMmxNU6Gla,29,2275.16,78.45
fbfJHSPpUQD,202511,egv5Es0QlQP,11,876.5,79.68
fbfJHSPpUQD,202602,g8upMTyEZGZ,11,2892.03,262.91
fbfJHSPpUQD,202508,F2TAF765q1b,16,1156.8,72.3
fbfJHSPpUQD,202507,dqHvtpUqLwB,6,1565.87,260.98
fbfJHSPpUQD,202508,PB8FMGbn19r,19,1347.86,70.94
fbfJHSPpUQD,202512,Vnc2qIRLbyw,12,2496.4,208.03
fbfJHSPpUQD,202511,fdsRQbuuAuh,15,1538.85,102.59
fbfJHSPpUQD,202507,bkMlhoccaVw,14,2373.18,169.51
fbfJHSPpUQD,202509,s7SLtx8wmRA,9,2179.55,242.17
fbfJHSPpUQD,202507,Mod8hYpQ3Ma,3,2027.18,675.73
fbfJHSPpUQD,202512,bne6tOoPaWn,16,2140.19,133.76
fbfJHSPpUQD,202604,ObJjzhhBkfy,11,771.39,70.13
fbfJHSPpUQD,202509,L05Bfpu7AcZ,18,1725.82,95.88
fbfJHSPpUQD,202509,t52CJEyLhch,20,2266.92,113.35
fbfJHSPpUQD,202602,aXsLBCzwYWW,14,1996.74,142.62
fbfJHSPpUQD,202603,wB4R3E1X6pC,61,2073.41,33.99
fbfJHSPpUQD,202604,C1tAqIpKB9k,18,2798.8,155.49
fbfJHSPpUQD,202603,UWhv0MQOqoB,7,735.44,105.06
fbfJHSPpUQD,202506,XvqLmn4kZXy,3,2321.05,773.68
fbfJHSPpUQD,202511,PEZNsGbZaVJ,10,766.09,76.61
fbfJHSPpUQD,202604,Tc3zugEWdTm,12,2632.89,219.41
fbfJHSPpUQD,202511,GjWQK6UA4FO,14,2652.19,189.44
fbfJHSPpUQD,202508,en0j7qFnySQ,8,2826.06,353.26
fbfJHSPpUQD,202508,ui12Hyvn6jR,61,1820.58,29.85
fbfJHSPpUQD,202507,bLYNonGzr0Y,38,783.38,20.62
fbfJHSPpUQD,202505,AlG0apJE5cm,5,595.37,119.07
fbfJHSPpUQD,202509,bne6tOoPaWn,10,625.09,62.51
fbfJHSPpUQD,202602,AlLmKZIIIT4,34,1950.77,57.38
fbfJHSPpUQD,202603,Fbq6Vxa4MIx,30,1172.27,39.08
fbfJHSPpUQD,202511,fCFdj2T0Bq1,5,1626.87,325.37
fbfJHSPpUQD,202506,ke2gwHKHP3z,51,950.92,18.65
fbfJHSPpUQD,202508,PEZNsGbZaVJ,53,1938.93,36.58
fbfJHSPpUQD,202509,ZdPkczYqeIY,17,2005.78,117.99
fbfJHSPpUQD,202506,MpcMjLmbATv,30,2664.71,88.82
fbfJHSPpUQD,202507,OcRCVRy2M7X,27,2791.26,103.38
fbfJHSPpUQD,202510,Q2USZSJmcNK,37,753.28,20.36
fbfJHSPpUQD,202511,Luv2kmWWgoG,11,2701.47,245.59
fbfJHSPpUQD,202601,p9KfD6eaRvu,14,2225.24,158.95
fbfJHSPpUQD,202602,ptc0SQi05E4,25,1430.43,57.22
fbfJHSPpUQD,202604,M4hyYfnb21I,2,727.32,363.66
fbfJHSPpUQD,202507,TQ5DSmdliN7,31,1801.14,58.1
fbfJHSPpUQD,202510,Xnif5imKLlT,10,1015.96,101.6
fbfJHSPpUQD,202511,XL745P4ETSL,19,1316.49,69.29
fbfJHSPpUQD,202602,Dluer5aKZmd,43,674.47,15.69
fbfJHSPpUQD,202506,oxAoPoePpqy,27,842.75,31.21
fbfJHSPpUQD,202604,GvstqlRRnpV,30,2939.31,97.98
fbfJHSPpUQD,202512,irVdYBmHBxs,12,1361.07,113.42
fbfJHSPpUQD,202604,VeXU3mndzri,5,1003.61,200.72
fbfJHSPpUQD,202505,YAuJ3fyoEuI,4,2073.2,518.3
fbfJHSPpUQD,202508,rYIkxCJFtTX,7,2982.91,426.13
fbfJHSPpUQD,202505,hCm2Nh7C8BW,5,2032.89,406.58
fbfJHSPpUQD,202508,egv5Es0QlQP,10,2620.98,262.1
fbfJHSPpUQD,202512,mt47bcb0Rcj,11,2207.72,200.7
fbfJHSPpUQD,202510,qusWt6sESRU,8,2579.28,322.41
fbfJHSPpUQD,202505,LUGqPutql0P,20,1274.02,63.7
fbfJHSPpUQD,202511,T3iVyvrCpZ0,30,859.14,28.64
fbfJHSPpUQD,202510,mkIugjeYSjE,19,2326.18,122.43
fbfJHSPpUQD,202603,qELjt3LRkSD,11,2199.71,199.97
fbfJHSPpUQD,202511,ui12Hyvn6jR,59,866.5,14.69
fbfJHSPpUQD,202604,qqF8jshIs66,1,569.11,569.11
fbfJHSPpUQD,202505,Umh4HKqqFp6,167,1619.21,9.7
fbfJHSPpUQD,202505,PfZXxl6Wp3F,26,2106.55,81.02
fbfJHSPpUQD,202505,ltF8BmYAXpQ,20,1950.46,97.52
fbfJHSPpUQD,202509,fvytjjnlQlK,26,561.66,21.6
fbfJHSPpUQD,202604,W7ekX3gi0ut,7,2477.65,353.95
fbfJHSPpUQD,202511,v0HMlSxlH7l,23,2442.69,106.2
fbfJHSPpUQD,202604,EQnfnY03sRp,8,2603.17,325.4
fbfJHSPpUQD,202511,MErVkzdbsP5,21,2435.08,115.96
fbfJHSPpUQD,202602,lpQvlm9czYE,41,2165.34,52.81
fbfJHSPpUQD,202512,WAjjFMDJKcx,42,2681.93,63.86
fbfJHSPpUQD,202506,VH8vOjm0l8w,19,2233.94,117.58
fbfJHSPpUQD,202602,r93q83kZoR9,8,2723.67,340.46
fbfJHSPpUQD,202512,jVDUkOBCjDy,21,2896.71,137.94
fbfJHSPpUQD,202601,BedE3DKQDFf,9,2219.99,246.67
fbfJHSPpUQD,202509,sIVFEyNfOg4,20,729.3,36.46
fbfJHSPpUQD,202601,ncGs9vXS36w,131,2842.54,21.7
fbfJHSPpUQD,202604,b1F5bfb7WUR,12,1508.83,125.74
fbfJHSPpUQD,202505,LnToY3ExKxL,27,1685.77,62.44
fbfJHSPpUQD,202601,Fhko00f3hXT,26,2173.11,83.58
fbfJHSPpUQD,202604,cUNdCErxl9g,12,614.46,51.21
fbfJHSPpUQD,202512,Z7UAnjpK74g,36,1700.95,47.25
fbfJHSPpUQD,202506,mYMJHVqdBKt,29,589.3,20.32
fbfJHSPpUQD,202603,DlLBIHdpaTy,5,778.26,155.65
fbfJHSPpUQD,202512,XQudzejlhJZ,200,1100.63,5.5
fbfJHSPpUQD,202603,uGa5JtIMfRx,10,1584.74,158.47
fbfJHSPpUQD,202601,DErmFP7bri7,23,2417.99,105.13
fbfJHSPpUQD,202604,o0BgK1dLhF8,26,2689.34,103.44
fbfJHSPpUQD,202512,HNv1aLPdMYb,44,1984.32,45.1
fbfJHSPpUQD,202601,Qu0QOykPdcD,11,2717.61,247.06
fbfJHSPpUQD,202507,fXT1scbEObM,10,2518.75,251.88
fbfJHSPpUQD,202508,Srnpwq8jKbp,26,2705.97,104.08
fbfJHSPpUQD,202511,YTQRSW91PxO,7,1411.45,201.64
fbfJHSPpUQD,202604,YPSCWmJ3TyN,23,1647.63,71.64
fbfJHSPpUQD,202506,GcwGqLqyi1M,9,2552.94,283.66
fbfJHSPpUQD,202602,fCFdj2T0Bq1,6,978.1,163.02
fbfJHSPpUQD,202604,geVF87N7qTw,4,1596.56,399.14
fbfJHSPpUQD,202603,e5sGsWLEn3k,5,872.48,174.5
fbfJHSPpUQD,202603,EmTN0L4EAVi,18,1001.58,55.64
fbfJHSPpUQD,202512,ZdPkczYqeIY,17,2232.6,131.33
fbfJHSPpUQD,202604,d9zRBAoM8OC,56,1339.91,23.93
fbfJHSPpUQD,202511,Srnpwq8jKbp,24,1727.34,71.97
fbfJHSPpUQD,202603,UCwtaCrNUls,10,2847.08,284.71
fbfJHSPpUQD,202602,OUPkxfQld8y,19,2311.5,121.66
fbfJHSPpUQD,202604,cJkZLwhL8RP,18,2624.82,145.82
fbfJHSPpUQD,202602,DZaJmtlaBMl,12,2409.43,200.79
fbfJHSPpUQD,202603,Vnc2qIRLbyw,16,2730.09,170.63
fbfJHSPpUQD,202505,L4Tw4NlaMjn,23,1132.97,49.26
fbfJHSPpUQD,202506,Zwnfm4rnzbZ,39,2298.51,58.94
fbfJHSPpUQD,202505,KR0jLuFOB3d,9,1623.42,180.38
fbfJHSPpUQD,202602,p9ZtyC3LQ9f,30,2369.79,78.99
fbfJHSPpUQD,202505,iIQENGb7za6,18,1962.01,109.0
fbfJHSPpUQD,202508,PyLBGdbzdEo,12,899.46,74.96
fbfJHSPpUQD,202603,bVZTNrnfn9G,154,1378.74,8.95
fbfJHSPpUQD,202510,ZZmMpGIE7pD,18,2672.3,148.46
fbfJHSPpUQD,202506,YXdC9hjYPqQ,36,2496.96,69.36
fbfJHSPpUQD,202508,YTQRSW91PxO,5,587.35,117.47
fbfJHSPpUQD,202512,qEQFWnKh4gs,12,780.15,65.01
fbfJHSPpUQD,202603,gowgzHWc8FT,5,1022.36,204.47
fbfJHSPpUQD,202505,KiheEgvUZ0i,235,2555.1,10.87
fbfJHSPpUQD,202506,kbGqmM6ZWWV,44,1992.94,45.29
